PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Schofield, O; Bergmann, T; Bissett, P; Grassle, JF; Haidvogel, DB; Kohut, J; Moline, M; Glenn, SM				Schofield, O; Bergmann, T; Bissett, P; Grassle, JF; Haidvogel, DB; Kohut, J; Moline, M; Glenn, SM			The long-term ecosystem observatory: An integrated coastal observatory	IEEE JOURNAL OF OCEANIC ENGINEERING																													0364-9059					APR	2002	27	2					146	154	PII S0364-9059(02)03375-7	10.1109/JOE.2002.1002469								WOS:000175754700002						
J	Nguyen, HB; DeFerrari, HA; Williams, NJ; Venezia, WA				Nguyen, HB; DeFerrari, HA; Williams, NJ; Venezia, WA			Ocean acoustic sensor installation at the South Florida Ocean Measurement Center	IEEE JOURNAL OF OCEANIC ENGINEERING																													0364-9059					APR	2002	27	2					235	244	PII S0364-9059(02)00693-3	10.1109/JOE.2002.1002478								WOS:000175754700011						
J	Irish, JD; Hay, AE; Traykovski, P; Newhall, A; Craig, R; Paul, WM				Irish, JD; Hay, AE; Traykovski, P; Newhall, A; Craig, R; Paul, WM			On attaching acoustic imaging instrumentation to the LEO-15 observatory for sediment transport and bottom boundary layer studies	IEEE JOURNAL OF OCEANIC ENGINEERING																													0364-9059					APR	2002	27	2					254	266	PII S0364-9059(02)04122-5	10.1109/JOE.2002.1002480								WOS:000175754700013						
J	Ginzburg, AI; Kostianoy, AG; Krivosheya, VG; Nezlin, NP; Soloviev, DM; Stanichny, SV; Yakubenko, VG				Ginzburg, AI; Kostianoy, AG; Krivosheya, VG; Nezlin, NP; Soloviev, DM; Stanichny, SV; Yakubenko, VG			Mesoscale eddies and related processes in the northeastern Black Sea	JOURNAL OF MARINE SYSTEMS					32nd International Liege Colloquium on Ocean Hydrodynamics	MAY 08-12, 2000	LIEGE, BELGIUM									Ginzburg, Anna/F-9405-2014	Stanichny, Sergey/0000-0002-1033-5678												0924-7963					APR	2002	32	1-3					71	90	PII S0924-7963(02)00030-1	10.1016/S0924-7963(02)00030-1								WOS:000175832700005						
J	Cohen, WB; Spies, TA; Alig, RJ; Oetter, DR; Maiersperger, TK; Fiorella, M				Cohen, WB; Spies, TA; Alig, RJ; Oetter, DR; Maiersperger, TK; Fiorella, M			Characterizing 23 years (1972-95) of stand replacement disturbance in western Oregon forests with Landsat imagery	ECOSYSTEMS																													1432-9840					MAR	2002	5	2					122	137		10.1007/s10021-001-0060-X								WOS:000175429400002						
J	Pal, SR; Mohanty, PK				Pal, SR; Mohanty, PK			Use of IRS-1B data for change detection in water quality and vegetation of Chilka lagoon, east coast of India	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					MAR	2002	23	6					1027	1042		10.1080/0143116010076243								WOS:000174295900002						
J	Donoghue, DNM; Mironnet, N				Donoghue, DNM; Mironnet, N			Development of an integrated geographical information system prototype for coastal habitat monitoring	COMPUTERS & GEOSCIENCES					Workshop on Intelligent Methods for Processing Space and Time-Related Data	1999	MAGDEBURG, GERMANY									Donoghue, Daniel/G-5509-2010	Donoghue, Daniel/0000-0002-9931-9083												0098-3004					FEB	2002	28	1					129	141		10.1016/S0098-3004(01)00021-8								WOS:000173632300017						
J	Duda, DP; Minnis, P				Duda, DP; Minnis, P			Observations of aircraft dissipation trails from GOES	MONTHLY WEATHER REVIEW																Minnis, Patrick/G-1902-2010	Minnis, Patrick/0000-0002-4733-6148												0027-0644					FEB	2002	130	2					398	406		10.1175/1520-0493(2002)130<0398:OOADTF>2.0.CO;2								WOS:000173177800012						
S	Karkas, E; Granberg, HB; Kanto, K; Rasmus, K; Lavoie, C; Lepparanta, M		Winther, JG; Solberg, R		Karkas, E; Granberg, HB; Kanto, K; Rasmus, K; Lavoie, C; Lepparanta, M			Physical properties of the seasonal snow cover in Dronning Maud Land, East Antarctica	ANNALS OF GLACIOLOGY, VOL 34, 2002	ANNALS OF GLACIOLOGY				4th International Symposium on Remote Sensing in Glaciology	JUN 03-08, 2001	UNIV MARYLAND, COLLEGE PK, MARYLAND	Int Glaciol Soc, NASA, US Natl Sci Fdn	UNIV MARYLAND								Lepparanta, Matti/0000-0002-4754-5564												0260-3055		0-946417-29-6				2002	34						89	94		10.3189/172756402781817554								WOS:000177565100014						
J	Jayatissa, LP; Dahdouh-Guebas, F; Koedam, N				Jayatissa, LP; Dahdouh-Guebas, F; Koedam, N			A review of the floral composition and distribution of mangroves in Sri Lanka	BOTANICAL JOURNAL OF THE LINNEAN SOCIETY																Dahdouh-Guebas, Farid/B-9154-2008													0024-4074					JAN	2002	138	1					29	43		10.1046/j.1095-8339.2002.00002.x								WOS:000173982300004						
J	Fischer, AS; Weller, RA; Rudnick, DL; Eriksen, CC; Lee, CM; Brink, KH; Fox, CA; Leben, RR				Fischer, AS; Weller, RA; Rudnick, DL; Eriksen, CC; Lee, CM; Brink, KH; Fox, CA; Leben, RR			Mesoscale eddies, coastal upwelling, and the upper-ocean heat budget in the Arabian Sea	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY																Rudnick, Daniel/J-8948-2016; Leben, Robert/F-3792-2010	Rudnick, Daniel/0000-0002-2624-7074; Leben, Robert/0000-0003-1067-9515												0967-0645						2002	49	12					2231	2264	PII S0967-0645(02)00036-X	10.1016/S0967-0645(02)00036-X								WOS:000176493600002						
J	Rasmussen, T; Fraser, R; Lemberg, DS; Regis, R				Rasmussen, T; Fraser, R; Lemberg, DS; Regis, R			Mapping stamp sand dynamics: Gay, Michigan	JOURNAL OF GREAT LAKES RESEARCH																													0380-1330						2002	28	2					276	284		10.1016/S0380-1330(02)70583-2								WOS:000176424300015						
J	Wimberly, MC; Spies, TA				Wimberly, MC; Spies, TA			Modeling landscape patterns of understory tree regeneration in the Pacific Northwest, USA	APPLIED VEGETATION SCIENCE																	Wimberly, Michael/0000-0003-1549-3891												1402-2001					DEC	2001	4	2					277	286		10.1111/j.1654-109X.2001.tb00496.x                                              								WOS:000174291000013						
J	Mason, DC; Davenport, IJ; Flather, RA; Gurney, C; Robinson, GJ; Smith, JA				Mason, DC; Davenport, IJ; Flather, RA; Gurney, C; Robinson, GJ; Smith, JA			A sensitivity analysis of the waterline method of constructing a digital elevation model for intertidal areas in ERS SAR scene of eastern England	ESTUARINE COASTAL AND SHELF SCIENCE																													0272-7714					DEC	2001	53	6					759	778		10.1006/ecss.2000.0789								WOS:000173510100001						
J	Nayak, S; Bahuguna, A				Nayak, S; Bahuguna, A			Application of remote sensing data to monitor mangroves and other coastal vegetation of India	INDIAN JOURNAL OF MARINE SCIENCES																													0379-5136					DEC	2001	30	4					195	213										WOS:000173106900001						
J	Huh, OK; Walker, ND; Moeller, C				Huh, OK; Walker, ND; Moeller, C			Sedimentation along the eastern Chenier Plain coast: Down drift impact of a delta complex shift	JOURNAL OF COASTAL RESEARCH																Walker, Nan/D-8819-2013													0749-0208					WIN	2001	17	1					72	81										WOS:000167468700006						
J	Leon, JF; Chazette, P; Dulac, F; Pelon, J; Flamant, C; Bonazzola, M; Foret, G; Alfaro, SC; Cachier, H; Cautenet, S; Hamonou, E; Gaudichet, A; Gomes, L; Rajot, JL; Lavenu, F; Inamdar, SR; Sarode, PR; Kadadevarmath, JS				Leon, JF; Chazette, P; Dulac, F; Pelon, J; Flamant, C; Bonazzola, M; Foret, G; Alfaro, SC; Cachier, H; Cautenet, S; Hamonou, E; Gaudichet, A; Gomes, L; Rajot, JL; Lavenu, F; Inamdar, SR; Sarode, PR; Kadadevarmath, JS			Large-scale advection of continental aerosols during INDOEX	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																RAJOT, Jean Louis/J-5635-2016	RAJOT, Jean Louis/0000-0002-3428-5636												2169-897X					NOV 27	2001	106	D22					28427	28439		10.1029/2001JD900023								WOS:000172355800029						
J	Basili, P; Bonafoni, S; Ciotti, P; Fionda, E; Ambrosini, R				Basili, P; Bonafoni, S; Ciotti, P; Fionda, E; Ambrosini, R			Atmospheric water vapor retrieval by means of both a GPS network and a microwave radiometer during an experimental campaign in Cagliari, Italy, in 1999	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING					International Geoscience and Remote Sensing Symposium (IGARSS 00)	JUL 24-28, 2000	HONOLULU, HAWAII	IEEE Geosci & Remote Sensing Soc									Bonafoni, Stefania/0000-0002-6485-393X												0196-2892					NOV	2001	39	11					2436	2443		10.1109/36.964980								WOS:000172284900013						
J	Schernewski, G; Neumann, T; Podsetchine, V; Siegel, H				Schernewski, G; Neumann, T; Podsetchine, V; Siegel, H			Spatial impact of the Oder river plume on water quality along the south-western Baltic coast	INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH																Neumann, Thomas/E-5476-2012	Neumann, Thomas/0000-0002-5653-906X; Schernewski, Gerald/0000-0002-4036-7646												1438-4639					NOV	2001	204	2-3					143	155		10.1078/1438-4639-00086								WOS:000172374300009	11759158					
J	Hagen, E; Feistel, R; Agenbag, JJ; Ohde, T				Hagen, E; Feistel, R; Agenbag, JJ; Ohde, T			Seasonal and interannual changes in Intense Benguela Upwelling (1982-1999)	OCEANOLOGICA ACTA																Ohde, Thomas/J-4926-2015	Ohde, Thomas/0000-0001-8117-814X												0399-1784					NOV-DEC	2001	24	6					557	568		10.1016/S0399-1784(01)01173-2                                                   								WOS:000173363500004						
J	Rajan, D; Mitra, AK; Rizvi, SRH; Paliwal, RK; Bohra, AK; Bhatia, VB				Rajan, D; Mitra, AK; Rizvi, SRH; Paliwal, RK; Bohra, AK; Bhatia, VB			Impact of satellite derived moisture in a global numerical weather prediction model	ATMOSFERA																													0187-6236					OCT 1	2001	14	4					203	209										WOS:000171489500004						
J	Guzzi, R; Ballista, G; Di Nicolantonio, W; Carboni, E				Guzzi, R; Ballista, G; Di Nicolantonio, W; Carboni, E			Aerosol maps from GOME data	ATMOSPHERIC ENVIRONMENT																Carboni, Elisa/K-9404-2013	Carboni, Elisa/0000-0002-0236-7856												1352-2310					OCT	2001	35	30					5079	5091		10.1016/S1352-2310(01)00324-7								WOS:000171776400007						
J	Power, D; Youden, J; Lane, K; Randell, C; Flett, D				Power, D; Youden, J; Lane, K; Randell, C; Flett, D			Iceberg detection capabilities of RADARSAT synthetic aperture radar	CANADIAN JOURNAL OF REMOTE SENSING																													0703-8992					OCT	2001	27	5					476	486		10.1080/07038992.2001.10854888								WOS:000172811700008						
J	Ponsford, AM; Sevgi, L; Chan, HC				Ponsford, AM; Sevgi, L; Chan, HC			An integrated maritime surveillance system based on high-frequency surface-wave radars, part 2: Operational status and system performance	IEEE ANTENNAS AND PROPAGATION MAGAZINE																Sevgi, Levent/F-3244-2010													1045-9243	1558-4143				OCT	2001	43	5					52	63		10.1109/74.979367								WOS:000172369500007						
J	Baum, MM; Kiyomiya, ES; Kumar, S; Lappas, AM; Kapinus, VA; Lord, HC				Baum, MM; Kiyomiya, ES; Kumar, S; Lappas, AM; Kapinus, VA; Lord, HC			Multicomponent remote sensing of vehicle exhaust by dispersive absorption spectroscopy. 2. Direct on-road ammonia measurements	ENVIRONMENTAL SCIENCE & TECHNOLOGY																													0013-936X					SEP 15	2001	35	18					3735	3741		10.1021/es002046y								WOS:000171055400022	11783653					
J	Legrand, M; Plana-Fattori, A; N'doume, C				Legrand, M; Plana-Fattori, A; N'doume, C			Satellite detection of dust using the IR imagery of Meteosat 1. Infrared difference dust index	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																													0747-7309					AUG 27	2001	106	D16					18251	18274		10.1029/2000JD900749								WOS:000170579400042						
J	Hormazabal, S; Shaffer, G; Letelier, J; Ulloa, O				Hormazabal, S; Shaffer, G; Letelier, J; Ulloa, O			Local and remote forcing of sea surface temperature in the coastal upwelling system off Chile	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																Shaffer, Gary/G-1742-2016; Ulloa, Osvaldo/E-1821-2011	Shaffer, Gary/0000-0002-2494-3471; Ulloa, Osvaldo/0000-0002-9501-5576												2169-9275	2169-9291				AUG 15	2001	106	C8					16657	16671		10.1029/2001JC900008								WOS:000170326000004						
J	Chinthalu, GR; Seetaramayya, P; Ravichandran, M; Mahajan, PN				Chinthalu, GR; Seetaramayya, P; Ravichandran, M; Mahajan, PN			Response of the Bay of Bengal to Gopalpur and Paradip super cyclones during 15-31 October 1999	CURRENT SCIENCE																	Ravichandran, Muthalagu/0000-0002-4602-0731												0011-3891					AUG 10	2001	81	3					283	291										WOS:000170621300022						
J	Simms, EL; Dubois, JMM				Simms, EL; Dubois, JMM			Satellite remote sensing of submerged kelp beds on the Atlantic coast of Canada	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					JUL 20	2001	22	11					2083	2094		10.1080/01431160116919								WOS:000169546300003						
J	Carriquiry, JD; Cupul-Magana, AL; Rodriguez-Zaragoza, F; Medina-Rosas, P				Carriquiry, JD; Cupul-Magana, AL; Rodriguez-Zaragoza, F; Medina-Rosas, P			Coral bleaching and mortality in the Mexican Pacific during the 1997-98 El Nino and prediction from a remote sensing approach	BULLETIN OF MARINE SCIENCE																Rodriguez Zaragoza, Fabian Alejandro/B-3477-2015; CARRIQUIRY, JOSE/R-9190-2017	Rodriguez Zaragoza, Fabian Alejandro/0000-0002-0066-4275; 												0007-4977					JUL	2001	69	1					237	249										WOS:000171653300015						
J	Fouache, E; Gruda, G; Mucaj, S; Nikolli, P				Fouache, E; Gruda, G; Mucaj, S; Nikolli, P			Recent geomorphological evolution of the deltas of the rivers Seman and Vjosa, Albania	EARTH SURFACE PROCESSES AND LANDFORMS																													0197-9337					JUL	2001	26	7					793	802		10.1002/esp.222								WOS:000170209400008						
J	Mertes, LAK; Warrick, JA				Mertes, LAK; Warrick, JA			Measuring flood output from 110 coastal watersheds in California with field measurements and SeaWiFS	GEOLOGY																													0091-7613					JUL	2001	29	7					659	662		10.1130/0091-7613(2001)029<0659:MFOFCW>2.0.CO;2								WOS:000169671300023						
J	Waluda, CM; Rodhouse, PG; Trathan, PN; Pierce, GJ				Waluda, CM; Rodhouse, PG; Trathan, PN; Pierce, GJ			Remotely sensed mesoscale oceanography and the distribution of Illex argentinus in the South Atlantic	FISHERIES OCEANOGRAPHY																Pierce, Graham/A-5404-2018	Pierce, Graham/0000-0002-4744-4501												1054-6006					JUN	2001	10	2					207	216		10.1046/j.1365-2419.2001.00165.x								WOS:000170560300005						
J	Santos, AMP; Borges, MDF; Groom, S				Santos, AMP; Borges, MDF; Groom, S			Sardine and horse mackerel recruitment and upwelling off Portugal	ICES JOURNAL OF MARINE SCIENCE																Santos, A Miguel P/G-6030-2011; Groom, Steve/A-1355-2012	Santos, A Miguel P/0000-0001-9401-3504; Borges, Maria de Fatima/0000-0002-0908-586X												1054-3139					JUN	2001	58	3					589	596		10.1006/jmsc.2001.1060								WOS:000169422200006						
J	Kunte, PD; Wagle, BG; Sugimori, Y				Kunte, PD; Wagle, BG; Sugimori, Y			Littoral transport studies along west coast of India - A review	INDIAN JOURNAL OF MARINE SCIENCES																													0379-5136	0975-1033				JUN	2001	30	2					57	64										WOS:000168988600001						
J	Tripathi, NK; Rao, AM				Tripathi, NK; Rao, AM			Investigation of erosion on Hope Island using IRS-1D LISS-III data	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					MAR 20	2001	22	5					883	888		10.1080/01431160051060363								WOS:000167679300015						
J	Pope, KO; Rejmankova, E; Paris, JF				Pope, KO; Rejmankova, E; Paris, JF			Spaceborne imaging radar-C (SIR-C) observations of groundwater discharge and wetlands associated with the Chicxulub impact crater, northwestern Yucatan Peninsula, Mexico	GEOLOGICAL SOCIETY OF AMERICA BULLETIN																													0016-7606					MAR	2001	113	3					403	416		10.1130/0016-7606(2001)113<0403:SIRCSC>2.0.CO;2								WOS:000167183700009						
J	Senet, CM; Seemann, J; Ziemer, F				Senet, CM; Seemann, J; Ziemer, F			The near-surface current velocity determined from image sequences of the sea surface	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					MAR	2001	39	3					492	505		10.1109/36.911108								WOS:000167628100003						
J	Greenslade, DJM				Greenslade, DJM			The assimilation of ERS-2 significant wave height data in the Australian region	JOURNAL OF MARINE SYSTEMS																Greenslade, Diana/A-1485-2012													0924-7963	1879-1573				FEB	2001	28	1-2					141	160		10.1016/S0924-7963(01)00005-7								WOS:000167928800007						
J	Rignot, E				Rignot, E			Evidence for rapid retreat and mass loss of Thwaites Glacier, West Antarctica	JOURNAL OF GLACIOLOGY																Rignot, Eric/A-4560-2014	Rignot, Eric/0000-0002-3366-0481												0022-1430						2001	47	157					213	222		10.3189/172756501781832340								WOS:000172783800006						
J	Boyd, IL; Hawker, EJ; Brandon, MA; Staniland, IJ				Boyd, IL; Hawker, EJ; Brandon, MA; Staniland, IJ			Measurement of ocean temperatures using instruments carried by Antarctic fur seals	JOURNAL OF MARINE SYSTEMS																Staniland, Iain/I-4725-2012; Brandon, Mark/A-5804-2010	Brandon, Mark/0000-0002-7779-0958												0924-7963					JAN	2001	27	4					277	288		10.1016/S0924-7963(00)00073-7								WOS:000166652200001						
J	Broitman, BR; Navarrete, SA; Smith, F; Gaines, SD				Broitman, BR; Navarrete, SA; Smith, F; Gaines, SD			Geographic variation of southeastern Pacific intertidal communities	MARINE ECOLOGY PROGRESS SERIES																Navarrete, Sergio/D-4645-2013; Broitman, Bernardo/D-6007-2013	Broitman, Bernardo/0000-0001-6582-3188												0171-8630						2001	224						21	34		10.3354/meps224021								WOS:000173683900002						
J	Parodi, A; Boni, G				Parodi, A; Boni, G			Phenomenological validation of a regional rainfall frequency analysis	PHYSICS AND CHEMISTRY OF THE EARTH PART B-HYDROLOGY OCEANS AND ATMOSPHERE																	Boni, Giorgio/0000-0002-8255-9312												1464-1909						2001	26	9					649	654		10.1016/S1464-1909(01)00064-8								WOS:000170846900003						
J	Smyth, TJ; Miller, PI; Groom, SB; Lavender, SJ				Smyth, TJ; Miller, PI; Groom, SB; Lavender, SJ			Remote sensing of sea surface temperature and chlorophyll during Lagrangian experiments at the Iberian margin	PROGRESS IN OCEANOGRAPHY																Miller, Peter/E-4525-2013; Smyth, Tim/D-2008-2012; Groom, Steve/A-1355-2012	Miller, Peter/0000-0002-5292-8789; Smyth, Tim/0000-0003-0659-1422; Lavender, Samantha/0000-0002-5181-9425												0079-6611						2001	51	2-4					269	281		10.1016/S0079-6611(01)00070-2								WOS:000173065800004						
J	Shaw, AGP; Vennell, R				Shaw, AGP; Vennell, R			Measurements of an oceanic front using a front-following algorithm for AVHRR SST imagery	REMOTE SENSING OF ENVIRONMENT																Shaw, Andrew/D-7517-2011; Vennell, Ross/A-7425-2010	Vennell, Ross/0000-0001-6961-9977												0034-4257					JAN	2001	75	1					47	62		10.1016/S0034-4257(00)00155-3								WOS:000166142000005						
J	Parkinson, CL				Parkinson, CL			Variability of Arctic sea ice: The view from space, an 18-year record	ARCTIC					Conference on Arctic Seas - Currents of Change	OCT 21-24, 1998	MYSTIC, CT									Parkinson, Claire/E-1747-2012	Parkinson, Claire/0000-0001-6730-4197												0004-0843					DEC	2000	53	4					341	358										WOS:000166201700002						
J	Yamaguchi, Y; Taguchi, N; Yamanouchi, H; Shibata, T; Hitomi, K; Yamagishi, S				Yamaguchi, Y; Taguchi, N; Yamanouchi, H; Shibata, T; Hitomi, K; Yamagishi, S			Development of a spilled-oil sensor and field observation on board a ship	BUNSEKI KAGAKU																													0525-1931					DEC	2000	49	12					1009	1014		10.2116/bunsekikagaku.49.1009								WOS:000166001300012						
J	Rachold, V; Grigoriev, MN; Are, FE; Solomon, S; Reimnitz, E; Kassens, H; Antonow, M				Rachold, V; Grigoriev, MN; Are, FE; Solomon, S; Reimnitz, E; Kassens, H; Antonow, M			Coastal erosion vs riverine sediment discharge in the Arctic Shelf seas	INTERNATIONAL JOURNAL OF EARTH SCIENCES																													1437-3254					DEC	2000	89	3					450	460		10.1007/s005310000113								WOS:000166020600002						
J	Kuo, NJ; Zheng, QN; Ho, CR				Kuo, NJ; Zheng, QN; Ho, CR			Satellite observation of upwelling along the western coast of the South China Sea	REMOTE SENSING OF ENVIRONMENT																Zheng, Quanan/F-9025-2010													0034-4257					DEC	2000	74	3					463	470		10.1016/S0034-4257(00)00138-3								WOS:000166140200012						
J	Plisnier, PD; Serneels, S; Lambin, EF				Plisnier, PD; Serneels, S; Lambin, EF			Impact of ENSO on East African ecosystems: a multivariate analysis based on climate and remote sensing data	GLOBAL ECOLOGY AND BIOGEOGRAPHY																													0960-7447					NOV	2000	9	6					481	497		10.1046/j.1365-2699.2000.00208.x								WOS:000166996000004						
J	Diem, JE; Comrie, AC				Diem, JE; Comrie, AC			Integrating remote sensing and local vegetation information for a high-resolution biogenic emissions inventory - Application to an urbanized, semiarid region	JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION																													1047-3289					NOV	2000	50	11					1968	1979		10.1080/10473289.2000.10464223								WOS:000165390600011	11111341					
J	Condit, R; Watts, K; Bohlman, SA; Perez, R; Foster, RB; Hubbell, SP				Condit, R; Watts, K; Bohlman, SA; Perez, R; Foster, RB; Hubbell, SP			Quantifying the deciduousness of tropical forest canopies under varying climates	JOURNAL OF VEGETATION SCIENCE																													1100-9233					OCT	2000	11	5					649	658		10.2307/3236572								WOS:000166253100005						
J	Konicki, KM; Holman, RA				Konicki, KM; Holman, RA			The statistics and kinematics of transverse sand bars on an open coast	MARINE GEOLOGY																													0025-3227					SEP 15	2000	169	1-2					69	101		10.1016/S0025-3227(00)00057-8								WOS:000089544200005						
J	Prandle, D; Hargreaves, JC; McManus, JP; Campbell, AR; Duwe, K; Lane, A; Mahnke, P; Shimwell, S; Wolf, J				Prandle, D; Hargreaves, JC; McManus, JP; Campbell, AR; Duwe, K; Lane, A; Mahnke, P; Shimwell, S; Wolf, J			Tide, wave and suspended sediment modelling on an open coast - Holderness	COASTAL ENGINEERING																	Wolf, Judith/0000-0003-4129-8221												0378-3839					SEP	2000	41	1-3					237	267		10.1016/S0378-3839(00)00034-X								WOS:000089204800012						
J	Summers, K; Robertson, A; Levinson, B				Summers, K; Robertson, A; Levinson, B			Development of the coastal intensive site network (CISNET)	ENVIRONMENTAL MONITORING AND ASSESSMENT					4th Symposium on the Environmental Monitoring and Assessment Program (EMAP)	APR 06-08, 1999	SAN FRANCISCO, CALIFORNIA																						0167-6369					SEP	2000	64	1					379	390		10.1023/A:1006455505015								WOS:000089244600029						
J	Kleidman, RG; Kaufman, YJ; Gao, BC; Remer, LA; Brackett, VG; Ferrare, RA; Browell, EV; Ismail, S				Kleidman, RG; Kaufman, YJ; Gao, BC; Remer, LA; Brackett, VG; Ferrare, RA; Browell, EV; Ismail, S			Remote sensing of total precipitable water vapor in the near-IR over ocean glint	GEOPHYSICAL RESEARCH LETTERS																													0094-8276					SEP 1	2000	27	17					2657	2660		10.1029/1999GL011156								WOS:000089254700018						
J	Walker, ND; Hammack, AB				Walker, ND; Hammack, AB			Impacts of winter storms on circulation and sediment transport: Atchafalaya-Vermilion Bay region, Louisiana, USA	JOURNAL OF COASTAL RESEARCH																Walker, Nan/D-8819-2013													0749-0208					FAL	2000	16	4					996	1010										WOS:000165935500004						
J	Schernewski, G; Podsetchine, V; Siegel, H; Huttula, T				Schernewski, G; Podsetchine, V; Siegel, H; Huttula, T			Instruments for water quality management and research in coastal zones: Flow and transport simulations across spatial scales	PERIODICUM BIOLOGORUM					Conference on Responsible Coastal Zone Management - The Challenge of the 21st Century (LITTORAL 2000)	2000	CROATIA	EUROCOAST Croatia, Univ Zagreb, Fac Sci, Univ Split, Fac Econ, State Hydrog Inst, Int Ctr Croatian Univ																					0031-5362					SEP	2000	102			1			65	75										WOS:000166145900009						
J	Siderius, M; Snellen, M; Simons, DG; Onken, R				Siderius, M; Snellen, M; Simons, DG; Onken, R			An environmental assessment in the Strait of Sicily: Measurement and analysis techniques for determining bottom and oceanographic properties	IEEE JOURNAL OF OCEANIC ENGINEERING																													0364-9059					JUL	2000	25	3					364	386		10.1109/48.855390								WOS:000088552500009						
J	Moorman, BJ; Michel, FA				Moorman, BJ; Michel, FA			The burial of ice in the proglacial environment on Bylot Island, Arctic Canada	PERMAFROST AND PERIGLACIAL PROCESSES																	Moorman, Brian/0000-0001-7565-5309												1045-6740					JUL-SEP	2000	11	3					161	175		10.1002/1099-1530(200007/09)11:3<161::AID-PPP347>3.0.CO;2-F								WOS:000089544600001						
J	Higurashi, A; Nakajima, T; Holben, BN; Smirnov, A; Frouin, R; Chatenet, B				Higurashi, A; Nakajima, T; Holben, BN; Smirnov, A; Frouin, R; Chatenet, B			A study of global aerosol optical climatology with two-channel AVHRR remote sensing	JOURNAL OF CLIMATE																Nakajima, Teruyuki/H-2370-2013; Smirnov, Alexander/C-2121-2009	Nakajima, Teruyuki/0000-0002-9042-504X; Smirnov, Alexander/0000-0002-8208-1304												0894-8755					JUN 15	2000	13	12					2011	2027		10.1175/1520-0442(2000)013<2011:ASOGAO>2.0.CO;2								WOS:000087631200003						
J	Bowers, DG; Harker, GEL; Smith, PSD; Tett, P				Bowers, DG; Harker, GEL; Smith, PSD; Tett, P			Optical properties of a region of freshwater influence (The Clyde Sea)	ESTUARINE COASTAL AND SHELF SCIENCE																													0272-7714					MAY	2000	50	5					717	726		10.1006/ecss.1999.0600								WOS:000087566200010						
J	Ismail, S; Browell, EV; Ferrare, RA; Kooi, SA; Clayton, MB; Brackett, VG; Russell, PB				Ismail, S; Browell, EV; Ferrare, RA; Kooi, SA; Clayton, MB; Brackett, VG; Russell, PB			LASE measurements of aerosol and water vapor profiles during TARFOX	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																													2169-897X					APR 27	2000	105	D8					9903	9916		10.1029/1999JD901198								WOS:000086658600011						
J	Ferrare, R; Ismail, S; Browell, E; Brackett, V; Clayton, M; Kooi, S; Melfi, SH; Whiteman, D; Schwemmer, G; Evans, K; Russell, P; Livingston, J; Schmid, B; Holben, B; Remer, L; Smirnov, A; Hobbs, PV				Ferrare, R; Ismail, S; Browell, E; Brackett, V; Clayton, M; Kooi, S; Melfi, SH; Whiteman, D; Schwemmer, G; Evans, K; Russell, P; Livingston, J; Schmid, B; Holben, B; Remer, L; Smirnov, A; Hobbs, PV			Comparison of aerosol optical properties and water vapor among ground and airborne lidars and Sun photometers during TARFOX	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Smirnov, Alexander/C-2121-2009	Smirnov, Alexander/0000-0002-8208-1304												2169-897X					APR 27	2000	105	D8					9917	9933		10.1029/1999JD901202								WOS:000086658600012						
J	Ferrare, R; Ismail, S; Browell, E; Brackett, V; Kooi, S; Clayton, M; Hobbs, PV; Hartley, S; Veefkind, JP; Russell, P; Livingston, J; Tanre, D; Hignett, P				Ferrare, R; Ismail, S; Browell, E; Brackett, V; Kooi, S; Clayton, M; Hobbs, PV; Hartley, S; Veefkind, JP; Russell, P; Livingston, J; Tanre, D; Hignett, P			Comparisons of LASE, aircraft, and satellite measurements of aerosol optical properties and water vapor during TARFOX	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																													2169-897X					APR 27	2000	105	D8					9935	9947		10.1029/1999JD901201								WOS:000086658600013						
